index,Series ID,Year,Series,Sub-Series,Type,Average Hours
0,TUU10101AA01000247,2007,Personal Care,Sleeping,Total,8.57
1,TUU10101AA01000326,2007,Personal Care,Sleeping,Men,8.52
2,TUU10101AA01000405,2007,Personal Care,Sleeping,Women,8.63
3,TUU10101AA01000484,2007,Personal Care,Grooming,Total,0.67
4,TUU10101AA01000563,2007,Personal Care,Grooming,Men,0.54
5,TUU10101AA01000642,2007,Personal Care,Grooming,Women,0.79
6,TUU10101AA01000721,2007,Personal Care,Other,Total,0.07
7,TUU10101AA01000745,2007,Personal Care,Other,Men,0.05
8,TUU10101AA01000769,2007,Personal Care,Other,Women,0.08
9,TUU10101AA01000793,2007,Personal Care,Other,Total,0.01
10,TUU10101AA01000817,2007,Personal Care,Other,Men,0.01
11,TUU10101AA01000841,2007,Personal Care,Other,Women,0.01
12,TUU10101AA01007594,2007,Personal Care,Other,Total,0.02
13,TUU10101AA01007618,2007,Personal Care,Other,Men,0.02
14,TUU10101AA01007642,2007,Personal Care,Other,Women,0.02
15,TUU10101AA01013237,2007,Eating and Drinking,Eating and Drinking,Total,1.24
16,TUU10101AA01013353,2007,Eating and Drinking,Eating and Drinking,Men,1.27
17,TUU10101AA01013469,2007,Eating and Drinking,Eating and Drinking,Women,1.2
18,TUU10101AA01047346,2007,Household Activities,Housework,Total,0.41
19,TUU10101AA01047409,2007,Household Activities,Housework,Men,0.21
20,TUU10101AA01047472,2007,Household Activities,Housework,Women,0.59
21,TUU10101AA01047535,2007,Household Activities,Housework,Total,0.18
22,TUU10101AA01047598,2007,Household Activities,Housework,Men,0.07
23,TUU10101AA01047661,2007,Household Activities,Housework,Women,0.29
24,TUU10101AA01047724,2007,Household Activities,Housework,Total,0.02
25,TUU10101AA01047787,2007,Household Activities,Housework,Men,0.01
26,TUU10101AA01047850,2007,Household Activities,Housework,Women,0.02
27,TUU10101AA01001102,2007,Household Activities,Food Preparation and Cleanup,Total,0.52
28,TUU10101AA01001181,2007,Household Activities,Food Preparation and Cleanup,Men,0.28
29,TUU10101AA01001260,2007,Household Activities,Food Preparation and Cleanup,Women,0.74
30,TUU10101AA01001483,2007,Household Activities,Household Activities,Total,0.21
31,TUU10101AA01001562,2007,Household Activities,Household Activities,Men,0.3
32,TUU10101AA01001641,2007,Household Activities,Household Activities,Women,0.12
33,TUU10101AA01009933,2007,Household Activities,Household Activities,Total,0.14
34,TUU10101AA01010012,2007,Household Activities,Household Activities,Men,0.12
35,TUU10101AA01010091,2007,Household Activities,Household Activities,Women,0.16
36,TUU10101AA01001339,2007,Household Activities,Household Activities,Total,0.08
37,TUU10101AA01001363,2007,Household Activities,Household Activities,Men,0.12
38,TUU10101AA01001387,2007,Household Activities,Household Activities,Women,0.05
39,TUU10101AA01001411,2007,Household Activities,Household Activities,Total,0.06
40,TUU10101AA01001435,2007,Household Activities,Household Activities,Men,0.09
41,TUU10101AA01001459,2007,Household Activities,Household Activities,Women,0.03
42,TUU10101AA01001720,2007,Household Activities,Animals and Pets,Total,0.09
43,TUU10101AA01001744,2007,Household Activities,Animals and Pets,Men,0.09
44,TUU10101AA01001768,2007,Household Activities,Animals and Pets,Women,0.1
45,TUU10101AA01001792,2007,Household Activities,Household Activities,Total,0.04
46,TUU10101AA01001816,2007,Household Activities,Household Activities,Men,0.07
47,TUU10101AA01001840,2007,Household Activities,Household Activities,Women,0.01
48,TUU10101AA01001864,2007,Household Activities,Household Activities,Total,0.02
49,TUU10101AA01001888,2007,Household Activities,Household Activities,Men,0.03
50,TUU10101AA01001912,2007,Household Activities,Household Activities,Women,0.01
51,TUU10101AA01007666,2007,Household Activities,Household Activities,Total,0.05
52,TUU10101AA01007690,2007,Household Activities,Household Activities,Men,0.05
53,TUU10101AA01007714,2007,Household Activities,Household Activities,Women,0.05
54,TUU10101AA01012652,2007,Purchasing Goods and Services,Purchasing Goods and Services,Total,0.78
55,TUU10101AA01012768,2007,Purchasing Goods and Services,Purchasing Goods and Services,Men,0.63
56,TUU10101AA01012884,2007,Purchasing Goods and Services,Purchasing Goods and Services,Women,0.92
57,TUU10101AA01010710,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Total,0.42
58,TUU10101AA01010788,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Men,0.25
59,TUU10101AA01010866,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Women,0.58
60,TUU10101AA01010940,2007,Caring For and Helping Household Members,Caring For and Helping Household Adults,Total,0.03
61,TUU10101AA01011019,2007,Caring For and Helping Household Members,Caring For and Helping Household Adults,Men,0.03
62,TUU10101AA01011098,2007,Caring For and Helping Household Members,Caring For and Helping Household Adults,Women,0.04
63,TUU10101AA01007738,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Total,0.08
64,TUU10101AA01007817,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Men,0.06
65,TUU10101AA01007896,2007,Caring For and Helping Household Members,Caring For and Helping Household Children,Women,0.1
66,TUU10101AA01011174,2007,Caring For and Helping Nonhousehold Members,Caring For and Helping Nonhousehold Members,Total,0.2
67,TUU10101AA01011287,2007,Caring For and Helping Nonhousehold Members,Caring For and Helping Nonhousehold Members,Men,0.17
68,TUU10101AA01011400,2007,Caring For and Helping Nonhousehold Members,Caring For and Helping Nonhousehold Members,Women,0.23
69,TUU10101AA01002857,2007,Working and Work-Related Activities,Working and Work-Related Activities,Total,3.47
70,TUU10101AA01002992,2007,Working and Work-Related Activities,Working and Work-Related Activities,Men,4.09
71,TUU10101AA01003077,2007,Working and Work-Related Activities,Working and Work-Related Activities,Women,2.89
72,TUU10101AA01003216,2007,Working and Work-Related Activities,Working and Work-Related Activities,Total,0.01
73,TUU10101AA01003289,2007,Working and Work-Related Activities,Working and Work-Related Activities,Men,0.01
74,TUU10101AA01003360,2007,Working and Work-Related Activities,Working and Work-Related Activities,Women,0.0
75,TUU10101AA01003430,2007,Working and Work-Related Activities,Other Income-Generating Activities,Total,0.03
76,TUU10101AA01003454,2007,Working and Work-Related Activities,Other Income-Generating Activities,Men,0.03
77,TUU10101AA01003478,2007,Working and Work-Related Activities,Other Income-Generating Activities,Women,0.02
78,TUU10101AA01003502,2007,Working and Work-Related Activities,Job Search and Interviewing,Total,0.02
79,TUU10101AA01003526,2007,Working and Work-Related Activities,Job Search and Interviewing,Men,0.03
80,TUU10101AA01003549,2007,Working and Work-Related Activities,Job Search and Interviewing,Women,0.02
81,TUU10101AA01008209,2007,Working and Work-Related Activities,Working and Work-Related Activities,Total,0.28
82,TUU10101AA01008288,2007,Working and Work-Related Activities,Working and Work-Related Activities,Men,0.36
83,TUU10101AA01008366,2007,Working and Work-Related Activities,Working and Work-Related Activities,Women,0.21
84,TUU10101AA01003655,2007,Educational Activities,Attending Class,Total,0.26
85,TUU10101AA01003728,2007,Educational Activities,Attending Class,Men,0.26
86,TUU10101AA01003786,2007,Educational Activities,Attending Class,Women,0.25
87,TUU10101AA01003859,2007,Educational Activities,Homework and Research,Total,0.14
88,TUU10101AA01003929,2007,Educational Activities,Homework and Research,Men,0.12
89,TUU10101AA01003993,2007,Educational Activities,Homework and Research,Women,0.15
90,TUU10101AA01008445,2007,Educational Activities,Attending Class,Total,0.03
91,TUU10101AA01008469,2007,Educational Activities,Attending Class,Men,0.02
92,TUU10101AA01008493,2007,Educational Activities,Attending Class,Women,0.03
93,TUU10101AA01006854,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Total,0.15
94,TUU10101AA01006933,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Men,0.11
95,TUU10101AA01007012,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Women,0.18
96,TUU10101AA01015349,2007,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Total,0.16
97,TUU10101AA01015428,2007,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Men,0.13
98,TUU10101AA01015507,2007,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Women,0.18
99,TUU10101AA01017238,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Total,0.04
100,TUU10101AA01017317,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Men,0.04
101,TUU10101AA01017396,2007,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Women,0.05
102,TUU10101AA01005370,2007,Leisure and Sports,"Socializing, Relaxing, and Leisure",Total,4.52
103,TUU10101AA01005394,2007,Leisure and Sports,"Socializing, Relaxing, and Leisure",Men,4.77
104,TUU10101AA01005418,2007,Leisure and Sports,"Socializing, Relaxing, and Leisure",Women,4.29
105,TUU10101AA01006639,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Total,0.35
106,TUU10101AA01006663,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.45
107,TUU10101AA01006687,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.25
108,TUU10101AA01014773,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Total,0.24
109,TUU10101AA01014852,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.26
110,TUU10101AA01014931,2007,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.22
111,TUU10101AA01007522,2007,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Total,0.11
112,TUU10101AA01007546,2007,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Men,0.06
113,TUU10101AA01007570,2007,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Women,0.15
114,TUU10101AA01001936,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Total,0.02
115,TUU10101AA01001960,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Men,0.02
116,TUU10101AA01001984,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Women,0.03
117,TUU10101AA01002008,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Total,0.05
118,TUU10101AA01002032,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Men,0.05
119,TUU10101AA01002056,2007,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Women,0.05
